"","hospital","year","epiweek","total_tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll"
"1","Hospital de Chimaltenango",2025,35,13,0,0,0,2,0,NA,0,NA,0,NA,0,NA,15.3846153846154,NA
"2","Hospital de Chimaltenango",2025,36,21,0,0,0,2,0,0,0,0,0,0,0,1.85185185185185,9.52380952380952,14.8148148148148
"3","Hospital de Chimaltenango",2025,37,20,0,0,1,4,0,0,0,0,0,0,5,3.33333333333333,20,11.6666666666667
"4","Hospital de Chimaltenango",2025,38,19,0,0,1,1,0,1.66666666666667,0,1.66666666666667,0,0,5.26315789473684,5,5.26315789473684,18.3333333333333
"5","Hospital de Chimaltenango",2025,39,21,1,0,1,6,4.76190476190476,1.47058823529412,4.76190476190476,1.47058823529412,0,0,4.76190476190476,2.94117647058824,28.5714285714286,19.1176470588235
"6","Hospital de Chimaltenango",2025,40,28,0,0,0,6,0,1.35135135135135,0,1.35135135135135,0,0,0,1.35135135135135,21.4285714285714,33.7837837837838
"7","Hospital de Chimaltenango",2025,41,25,0,0,0,13,0,2.40963855421687,0,2.40963855421687,0,0,0,0,52,34.9397590361446
"8","Hospital de Chimaltenango",2025,42,30,2,0,0,10,6.66666666666667,2.53164556962025,6.66666666666667,2.53164556962025,0,0,0,1.26582278481013,33.3333333333333,40.5063291139241
"9","Hospital de Chimaltenango",2025,43,24,0,0,1,9,0,2.4390243902439,0,2.4390243902439,0,0,4.16666666666667,1.21951219512195,37.5,47.5609756097561
"10","Hospital de Chimaltenango",2025,44,28,0,0,0,20,0,1.26582278481013,0,1.26582278481013,0,0,0,1.26582278481013,71.4285714285714,56.9620253164557
"11","Hospital de Chimaltenango",2025,45,27,1,0,0,16,3.7037037037037,2.53164556962025,3.7037037037037,1.26582278481013,0,1.26582278481013,0,0,59.2592592592593,62.0253164556962
"12","Hospital de Chimaltenango",2025,46,24,0,1,0,13,4.16666666666667,7.14285714285714,0,5.95238095238095,4.16666666666667,1.19047619047619,0,1.19047619047619,54.1666666666667,59.5238095238095
