"","year","month","surveilled","tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","ili_inc","flua_inc","flub_inc","scv2_inc","rsv_inc"
"1",2026,2,375,128,9,0,2,5,341.333333333333,24,0,5.33333333333333,13.3333333333333
"2",2026,3,484,142,25,0,0,2,293.388429752066,51.6528925619835,0,0,4.13223140495868
"3",2026,4,483,65,14,0,0,1,134.575569358178,28.9855072463768,0,0,2.0703933747412
